PING 172.31.47.114 (172.31.47.114) 56(84) bytes of data.
64 bytes from 172.31.47.114: icmp_seq=82 ttl=127 time=0.355 ms
64 bytes from 172.31.47.114: icmp_seq=83 ttl=127 time=0.331 ms
64 bytes from 172.31.47.114: icmp_seq=84 ttl=127 time=0.279 ms
64 bytes from 172.31.47.114: icmp_seq=85 ttl=127 time=0.412 ms
64 bytes from 172.31.47.114: icmp_seq=86 ttl=127 time=0.331 ms
64 bytes from 172.31.47.114: icmp_seq=87 ttl=127 time=0.414 ms
64 bytes from 172.31.47.114: icmp_seq=88 ttl=127 time=0.315 ms
64 bytes from 172.31.47.114: icmp_seq=89 ttl=127 time=0.311 ms
64 bytes from 172.31.47.114: icmp_seq=90 ttl=127 time=0.404 ms
64 bytes from 172.31.47.114: icmp_seq=91 ttl=127 time=0.345 ms
64 bytes from 172.31.47.114: icmp_seq=92 ttl=127 time=0.427 ms
64 bytes from 172.31.47.114: icmp_seq=93 ttl=127 time=0.341 ms
64 bytes from 172.31.47.114: icmp_seq=94 ttl=127 time=0.293 ms
64 bytes from 172.31.47.114: icmp_seq=95 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=96 ttl=127 time=0.308 ms
64 bytes from 172.31.47.114: icmp_seq=97 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=98 ttl=127 time=0.467 ms
64 bytes from 172.31.47.114: icmp_seq=99 ttl=127 time=0.303 ms
64 bytes from 172.31.47.114: icmp_seq=100 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=101 ttl=127 time=0.310 ms
64 bytes from 172.31.47.114: icmp_seq=102 ttl=127 time=0.437 ms
64 bytes from 172.31.47.114: icmp_seq=103 ttl=127 time=0.362 ms
64 bytes from 172.31.47.114: icmp_seq=104 ttl=127 time=0.366 ms
64 bytes from 172.31.47.114: icmp_seq=105 ttl=127 time=0.549 ms
64 bytes from 172.31.47.114: icmp_seq=106 ttl=127 time=0.328 ms
64 bytes from 172.31.47.114: icmp_seq=107 ttl=127 time=0.436 ms
64 bytes from 172.31.47.114: icmp_seq=108 ttl=127 time=0.299 ms
64 bytes from 172.31.47.114: icmp_seq=109 ttl=127 time=0.286 ms
64 bytes from 172.31.47.114: icmp_seq=110 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=111 ttl=127 time=0.337 ms
64 bytes from 172.31.47.114: icmp_seq=112 ttl=127 time=0.460 ms
64 bytes from 172.31.47.114: icmp_seq=113 ttl=127 time=0.332 ms
64 bytes from 172.31.47.114: icmp_seq=114 ttl=127 time=0.326 ms
64 bytes from 172.31.47.114: icmp_seq=115 ttl=127 time=0.326 ms
64 bytes from 172.31.47.114: icmp_seq=116 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=117 ttl=127 time=0.301 ms
64 bytes from 172.31.47.114: icmp_seq=118 ttl=127 time=0.324 ms
64 bytes from 172.31.47.114: icmp_seq=119 ttl=127 time=0.356 ms
64 bytes from 172.31.47.114: icmp_seq=120 ttl=127 time=0.281 ms
64 bytes from 172.31.47.114: icmp_seq=121 ttl=127 time=0.295 ms
64 bytes from 172.31.47.114: icmp_seq=122 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=123 ttl=127 time=0.384 ms
64 bytes from 172.31.47.114: icmp_seq=124 ttl=127 time=0.385 ms
64 bytes from 172.31.47.114: icmp_seq=125 ttl=127 time=0.299 ms
64 bytes from 172.31.47.114: icmp_seq=126 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=127 ttl=127 time=0.450 ms
64 bytes from 172.31.47.114: icmp_seq=128 ttl=127 time=0.324 ms
64 bytes from 172.31.47.114: icmp_seq=129 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=130 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=131 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=132 ttl=127 time=0.437 ms
64 bytes from 172.31.47.114: icmp_seq=133 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=134 ttl=127 time=0.341 ms
64 bytes from 172.31.47.114: icmp_seq=135 ttl=127 time=0.394 ms
64 bytes from 172.31.47.114: icmp_seq=136 ttl=127 time=0.318 ms
64 bytes from 172.31.47.114: icmp_seq=137 ttl=127 time=0.450 ms
64 bytes from 172.31.47.114: icmp_seq=138 ttl=127 time=0.311 ms
64 bytes from 172.31.47.114: icmp_seq=139 ttl=127 time=0.320 ms
64 bytes from 172.31.47.114: icmp_seq=140 ttl=127 time=0.452 ms
64 bytes from 172.31.47.114: icmp_seq=141 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=142 ttl=127 time=0.334 ms
64 bytes from 172.31.47.114: icmp_seq=143 ttl=127 time=0.478 ms
64 bytes from 172.31.47.114: icmp_seq=144 ttl=127 time=0.317 ms
