name,count,mean,median,std,min,p90,p95,p99,max
DPDK,981,0.30428848114169216,0.292,0.062159468718062785,0.222,0.358,0.393,0.4386000000000004,1.33
Kernel,1000,0.34005,0.319,0.08930052351470288,0.265,0.404,0.43504999999999994,0.5321699999999999,2.2
